Date,France_bond,US_bond,Commodities,Europe_equity,AEX,Bist,Nasdaq,Emerging_equity,loss
2011-01-03 00:00:00,0.003158562,0.002471048,-1.23288e-05,0.007587514,0.009773611,0.027034316,0.014464017,0.014587332,-0.0099662078904698
2011-01-04 00:00:00,0.001260637,-0.004326263,-0.01631294,0.009135581,-0.002782727,0.021360874,-0.008696107,-0.000189076,1.179057202242706e-05
2011-01-05 00:00:00,-0.003997481,-0.012093525,0.004165324,0.000506372,-0.004412513,0.02059235,-0.002414466,-0.000618423,-0.00025544688986654795
2011-01-06 00:00:00,-0.000368994,-0.005530796,-0.011789867,0.003598586,-0.001092132,0.002399534,-0.008151529,-0.007840591,0.003577184397102681
2011-01-07 00:00:00,0.001633083,-0.001552105,-0.001905322,-0.001422573,-0.001261725,-0.007834634,-0.008874652,-0.009134774,0.003779384171691297
2011-01-10 00:00:00,0.000157899,0.000990351,0.007782029,-0.008778932,-0.006275996,-0.010229693,0.001788592,-0.006118169,0.0025653197919785486
2011-01-11 00:00:00,-0.002318353,0.001342587,0.01438877,0.012201918,0.011480659,0.001274064,0.005875265,0.009138279,-0.006711460269980055
2011-01-12 00:00:00,-0.004334961,0.008950196,0.008269922,0.013448038,0.011405588,-6.07722e-05,0.014275054,0.014148547,-0.00831806523740114
2011-01-13 00:00:00,0.000741447,0.024224123,-0.003655155,-0.006334033,-0.004480082,-0.003807185,0.021805558,0.001848432,-0.0038655380042048604
2011-01-14 00:00:00,0.00058218,-0.005896951,-0.001993045,-0.001083592,0.001467915,-0.010199757,0.004591427,-0.007337071,0.002469809195335834
2011-01-18 00:00:00,-0.004296975,0.000145011,0.001290529,0.009383017,0.00731236,-0.018000578,0.003821672,-0.003861845,0.0004937482005620275
2011-01-19 00:00:00,0.002654634,0.007569813,-0.002851754,-0.013693205,-0.015990641,-0.022584627,-0.007608303,0.001416075,0.006318525243309184
2011-01-20 00:00:00,-0.003878136,-0.009315009,-0.007612749,-0.011826581,-0.005097269,-0.019291465,-0.011621851,-0.013479188,0.010202169490582835
2011-01-21 00:00:00,0.001436132,0.011502547,0.008061178,0.006779531,0.013692466,0.00974432,0.004744007,-0.008209097,-0.006007601383464581
2011-01-24 00:00:00,0.001009377,0.005916582,-0.002915923,0.00288497,-0.00016619,-0.012570943,0.015648084,-0.001260045,-0.0010968669744864934
2011-01-25 00:00:00,-0.001275172,0.001665106,-0.016226539,-0.006882708,-0.00619656,-0.014507322,-3.40453e-05,-0.001142002,0.005539741777395704
2011-01-26 00:00:00,-0.002715151,0.002177725,0.016176467,0.008793801,0.009128622,0.009043551,0.010638987,0.007672237,-0.00765771660050675
